10381;20200201;1;5.2;7.7;10.6;12.5;84.5;3.0;14.2;0.0;7.2;7.5;992.7
10381;20200131;1;5.2;6.1;9.6;11.2;79.2;3.0;18.0;2.8;7.2;0.0;993.5
10381;20200130;1;0.6;2.2;5.5;8.4;82.3;4.0;15.9;0.0;7.6;2.5;996.5
10381;20200129;1;1.9;3.0;4.5;6.2;77.5;4.0;17.4;0.3;7.2;0.7;991.4
10381;20200128;1;1.7;2.4;5.4;8.7;87.8;4.0;16.2;2.2;7.2;8.8;984.5
10381;20200127;1;-2.6;-0.4;4.8;8.9;88.3;3.0;10.1;3.7;7.3;3.1;1000.2
10381;20200126;1;-1.4;-1.7;-0.5;0.5;100.0;2.0;6.3;0.0;8.0;0.0;1009.0
10381;20200125;1;-0.3;-0.4;0.4;1.4;100.0;2.0;7.7;0.0;8.0;0.0;1011.8
10381;20200124;1;;-3.2;-0.1;3.9;91.5;2.0;7.5;7.3;3.4;0.0;1012.9
10381;20200123;1;-4.0;-0.7;2.8;6.5;84.9;2.0;5.2;0.8;6.2;0.0;1022.1
10381;20200120;1;-3.7;-0.9;1.7;4.5;95.2;2.0;;2.3;4.2;0.0;1034.9
10381;20200119;1;2.1;2.7;3.8;4.7;90.5;2.0;7.4;0.1;7.5;0.2;1023.8
10381;20200118;1;-1.3;3.1;5.2;6.9;79.4;3.0;10.7;4.3;5.5;0.1;1012.2
10381;20200117;1;-3.5;0.0;3.9;9.2;86.4;3.0;11.7;7.4;1.5;;1010.2
10381;20200116;1;-2.4;1.8;6.0;11.0;81.3;2.0;7.9;7.9;1.5;0.0;1017.1
10381;20200115;1;3.0;7.4;10.1;13.7;58.0;4.0;14.7;2.2;5.8;0.0;1005.0
10381;20200114;1;-0.4;2.1;7.0;9.9;73.8;4.0;13.3;0.3;6.0;0.0;1001.7
10381;20200113;3;-1.8;1.7;5.3;8.5;86.6;3.0;11.9;0.8;5.5;0.0;1009.6
10381;20200112;3;-1.3;0.6;3.4;6.1;78.8;3.0;12.0;5.7;5.9;0.0;1011.5
10381;20200111;3;-0.1;2.0;4.5;7.0;81.4;3.0;10.0;2.5;6.9;0.0;1018.9
10381;20200110;3;3.8;4.5;9.1;11.2;89.6;3.0;15.2;2.3;6.8;1.7;1004.8
10381;20200109;3;6.4;7.0;8.1;;99.4;3.0;10.0;0.0;8.0;5.3;1007.0
10381;20200108;3;1.8;3.1;6.2;8.2;88.6;3.0;11.0;0.0;7.9;1.9;
10381;20200107;3;-4.3;-2.1;2.3;5.3;97.0;3.0;9.1;0.0;5.3;0.2;1014.5
10381;20200106;3;-1.6;1.9;4.7;7.3;80.8;2.0;7.4;2.1;7.2;0.0;1017.0
10381;20200105;3;-3.5;-1.4;1.4;3.6;88.9;3.0;10.5;2.1;4.1;0.0;1022.3
10381;20200104;3;0.2;1.7;4.1;5.6;87.6;4.0;16.2;0.0;4.8;3.0;1010.4
