Datum,TN,TX,RR,TX transformed,TN transformed
2018-12-08,5.0,9.4,3.2,-0.74227986913759,-0.74227986913759
2018-12-09,5.8,8.2,1.5,-0.8728406149476304,-0.8728406149476304
2018-12-10,3.4,5.9,0.4,-1.1455692717558807,-1.1455692717558807
2018-12-11,2.2,4.8,4.1,-1.2904464023297628,-1.2904464023297628
2018-12-12,1.5,4.2,0.0,-1.3747335387188149,-1.3747335387188149
2018-12-13,0.8,2.7,0.0,-1.6066562694722235,-1.6066562694722235
2018-12-14,-0.4,1.1,0.0,-1.9015743352352616,-1.9015743352352616
2018-12-15,-0.6,0.9,0.0,-1.9432611408837366,-1.9432611408837366
2018-12-16,-1.6,0.2,0.0,-2.1004949508776685,-2.1004949508776685
2018-12-17,-1.2,2.3,0.0,-1.6748951290887442,-1.6748951290887442
2018-12-18,-0.1,6.5,0.0,-1.0709607573375994,-1.0709607573375994
2018-12-19,-0.8,2.9,0.0,-1.5736706885754694,-1.5736706885754694
2018-12-20,2.5,5.1,1.2,-1.2497823403572303,-1.2497823403572303
2018-12-21,3.9,10.7,6.7,-0.6073312609750894,-0.6073312609750894
2018-12-22,3.8,9.7,7.5,-0.7105996305111716,-0.7105996305111716
2018-12-23,4.1,7.4,3.9,-0.9638796946979532,-0.9638796946979532
2018-12-24,-0.1,5.4,0.7,-1.2100151187818986,-1.2100151187818986
2018-12-25,3.0,5.7,0.2,-1.171084937481101,-1.171084937481101
2018-12-26,4.6,6.3,0.6,-1.095521096098437,-1.095521096098437
2018-12-27,3.8,5.9,0.4,-1.1455692717558807,-1.1455692717558807
2018-12-28,5.0,6.8,1.0,-1.0346635640678363,-1.0346635640678363
2018-12-29,4.3,6.6,5.8,-1.058790794481438,-1.058790794481438
2018-12-30,3.5,7.7,0.1,-0.929320232164489,-0.929320232164489
2018-12-31,3.0,8.2,0.4,-0.8728406149476304,-0.8728406149476304
2019-01-01,3.1,8.5,2.2,-0.8395758142932932,-0.8395758142932932
2019-01-02,-1.5,3.5,0.1,-1.4787595887919842,-1.4787595887919842
2019-01-03,-2.5,1.5,0.0,-1.8218575003853346,-1.8218575003853346
2019-01-04,-1.0,4.7,1.9,-1.3042115303314101,-1.3042115303314101
2019-01-05,2.4,7.9,0.0,-0.9065661819821604,-0.9065661819821604
2019-01-06,0.0,3.3,0.2,-1.509759230243705,-1.509759230243705
2019-01-07,-0.3,5.6,6.5,-1.1839721376192665,-1.1839721376192665
2019-01-08,2.1,6.0,10.2,-1.1329370312091842,-1.1329370312091842
2019-01-09,1.0,2.9,2.3,-1.5736706885754694,-1.5736706885754694
2019-01-10,0.0,2.0,0.0,-1.728246063505729,-1.728246063505729
2019-01-11,-0.2,5.4,1.5,-1.2100151187818986,-1.2100151187818986
2019-01-12,4.0,5.8,3.8,-1.158284620154508,-1.158284620154508
2019-01-13,5.0,7.9,4.0,-0.9065661819821604,-0.9065661819821604
2019-01-14,0.2,6.0,0.0,-1.1329370312091842,-1.1329370312091842
2019-01-15,1.3,6.5,1.6,-1.0709607573375994,-1.0709607573375994
2019-01-16,2.8,7.0,0.0,-1.0108100852236621,-1.0108100852236621
2019-01-17,1.7,7.3,3.3,-0.9755185660744884,-0.9755185660744884
2019-01-18,-1.4,2.1,0.0,-1.7102426115560658,-1.7102426115560658
2019-01-19,-4.2,3.3,0.0,-1.509759230243705,-1.509759230243705
2019-01-20,-6.2,1.9,0.0,-1.7464787646948985,-1.7464787646948985
2019-01-21,-4.9,-2.0,0.0,-2.787477334733532,-2.787477334733532
2019-01-22,-5.6,0.7,0.0,-1.986292486500999,-1.986292486500999
2019-01-23,-6.8,-3.5,0.0,-3.7400477406883357,-3.7400477406883357
2019-01-24,-4.5,-3.3,0.0,-3.552964270134137,-3.552964270134137
2019-01-25,-4.6,-2.3,0.7,-2.9226727026844856,-2.9226727026844856
2019-01-26,-3.2,3.6,5.0,-1.4634839998110207,-1.4634839998110207
2019-01-27,2.4,6.0,2.7,-1.1329370312091842,-1.1329370312091842
2019-01-28,1.1,5.7,1.8,-1.171084937481101,-1.171084937481101
2019-01-29,-2.0,3.2,0.0,-1.5254914912800905,-1.5254914912800905
2019-01-30,-3.0,3.1,0.0,-1.541384449189085,-1.541384449189085
2019-01-31,-2.2,4.7,0.0,-1.3042115303314101,-1.3042115303314101
2019-02-01,-3.6,1.9,1.3,-1.7464787646948985,-1.7464787646948985
2019-02-02,0.3,1.4,1.1,-1.8413564103674271,-1.8413564103674271
2019-02-03,-0.5,1.8,0.0,-1.7649482117773982,-1.7649482117773982
2019-02-04,-1.7,6.0,0.1,-1.1329370312091842,-1.1329370312091842
2019-02-05,-0.3,3.7,0.0,-1.4483526749381743,-1.4483526749381743
2019-02-06,-0.2,7.0,0.0,-1.0108100852236621,-1.0108100852236621
2019-02-07,-0.5,5.4,0.2,-1.2100151187818986,-1.2100151187818986
2019-02-08,1.9,8.3,0.0,-0.8617025415897521,-0.8617025415897521
2019-02-09,5.0,11.1,0.9,-0.5669150904170345,-0.5669150904170345
2019-02-10,3.7,8.5,10.6,-0.8395758142932932,-0.8395758142932932
2019-02-11,0.9,7.4,0.2,-0.9638796946979532,-0.9638796946979532
2019-02-12,1.0,5.8,0.1,-1.158284620154508,-1.158284620154508
2019-02-13,3.6,8.0,0.3,-0.8952713646500796,-0.8952713646500796
2019-02-14,-0.2,10.6,0.0,-0.6175097663543255,-0.6175097663543255
2019-02-15,-2.0,14.0,0.0,-0.28497571085403794,-0.28497571085403794
2019-02-16,-1.3,16.6,0.0,-0.04176941287629479,-0.04176941287629479
2019-02-17,-1.2,14.4,0.0,-0.24719071109704435,-0.24719071109704435
2019-02-18,-1.3,15.4,0.0,-0.15343254694181785,-0.15343254694181785
2019-02-19,1.5,9.8,0.5,-0.7001158498760385,-0.7001158498760385
2019-02-20,5.4,10.1,0.3,-0.6688825585603144,-0.6688825585603144
2019-02-21,5.7,10.6,3.3,-0.6175097663543255,-0.6175097663543255
2019-02-22,-2.5,8.6,0.1,-0.8285851514550497,-0.8285851514550497
2019-02-23,-4.0,5.1,0.0,-1.2497823403572303,-1.2497823403572303
2019-02-24,-3.3,12.5,0.0,-0.4287219702724316,-0.4287219702724316
2019-02-25,-1.9,13.7,0.0,-0.31344620938791246,-0.31344620938791246
2019-02-26,2.2,11.4,0.0,-0.5368978640757658,-0.5368978640757658
2019-02-27,-0.1,16.2,0.0,-0.07892725858967085,-0.07892725858967085
2019-02-28,2.3,12.6,0.0,-0.4190180745128679,-0.4190180745128679
2019-03-01,2.7,5.4,0.0,-1.2100151187818986,-1.2100151187818986
2019-03-02,2.4,5.5,0.4,-1.1969481893889715,-1.1969481893889715
2019-03-03,4.1,11.5,1.0,-0.526945005645874,-0.526945005645874
2019-03-04,6.1,15.1,2.7,-0.18147085491364162,-0.18147085491364162
2019-03-05,1.7,8.9,0.8,-0.7958923388517882,-0.7958923388517882
2019-03-06,0.1,12.7,1.2,-0.40933358488608484,-0.40933358488608484
2019-03-07,7.2,16.8,0.2,-0.02320289707966387,-0.02320289707966387
2019-03-08,4.5,9.6,2.2,-0.7211210326023514,-0.7211210326023514
2019-03-09,4.5,11.6,6.9,-0.5170175940139119,-0.5170175940139119
2019-03-10,0.4,7.7,13.7,-0.929320232164489,-0.929320232164489
2019-03-11,1.3,5.3,3.0,-1.2231750113098718,-1.2231750113098718
2019-03-12,1.8,9.5,0.7,-0.7316808445621883,-0.7316808445621883
2019-03-13,4.6,9.6,1.6,-0.7211210326023514,-0.7211210326023514
2019-03-14,4.0,8.4,10.6,-0.8506146130131976,-0.8506146130131976
2019-03-15,5.5,10.0,1.0,-0.6792580683992783,-0.6792580683992783
2019-03-16,4.6,8.7,5.4,-0.8176416508043156,-0.8176416508043156
2019-03-17,3.9,13.0,0.9,-0.38039147055604844,-0.38039147055604844
2019-03-18,2.8,8.9,1.1,-0.7958923388517882,-0.7958923388517882
2019-03-19,-0.6,8.3,0.0,-0.8617025415897521,-0.8617025415897521
2019-03-20,-2.6,12.8,0.0,-0.39966799042383855,-0.39966799042383855
2019-03-21,4.8,11.9,0.0,-0.4873822305760514,-0.4873822305760514
2019-03-22,4.7,11.8,0.0,-0.4972367797040941,-0.4972367797040941
2019-03-23,4.1,16.2,0.0,-0.07892725858967085,-0.07892725858967085
2019-03-24,2.5,12.0,0.0,-0.4775508348811185,-0.4775508348811185
2019-03-25,1.4,7.9,4.1,-0.9065661819821604,-0.9065661819821604
2019-03-26,1.6,7.8,1.1,-0.9179154276011569,-0.9179154276011569
2019-03-27,3.3,9.9,2.4,-0.6896689161836205,-0.6896689161836205
2019-03-28,7.9,10.0,0.8,-0.6792580683992783,-0.6792580683992783
2019-03-29,4.1,12.1,0.0,-0.46774203762967903,-0.46774203762967903
2019-03-30,2.2,18.6,0.0,0.14410034397375687,0.14410034397375687
2019-03-31,1.4,11.9,0.0,-0.4873822305760514,-0.4873822305760514
2019-04-01,-2.0,12.2,0.0,-0.45795529072956126,-0.45795529072956126
2019-04-02,2.1,15.7,0.0,-0.12545430615303496,-0.12545430615303496
2019-04-03,7.1,19.7,0.0,0.24719071109704405,0.24719071109704405
2019-04-04,7.8,20.9,0.0,0.3611845344447072,0.3611845344447072
2019-04-05,6.0,14.6,0.0,-0.22836549529536135,-0.22836549529536135
2019-04-06,7.1,22.1,0.0,0.47755083488111844,0.47755083488111844
2019-04-07,6.5,19.8,0.0,0.25661948051059913,0.25661948051059913
2019-04-08,4.0,20.0,0.0,0.2755115368315257,0.2755115368315257
2019-04-09,3.3,12.4,0.0,-0.4384457888380237,-0.4384457888380237
2019-04-10,1.1,10.5,0.0,-0.6277193752374901,-0.6277193752374901
2019-04-11,1.2,6.5,0.0,-1.0709607573375994,-1.0709607573375994
2019-04-12,2.1,4.8,0.0,-1.2904464023297628,-1.2904464023297628
2019-04-13,2.2,7.6,0.0,-0.9407817518824507,-0.9407817518824507
2019-04-14,2.7,9.9,1.5,-0.6896689161836205,-0.6896689161836205
2019-04-15,1.7,13.8,0.0,-0.30394259332356105,-0.30394259332356105
2019-04-16,1.2,16.3,0.0,-0.06963369175880088,-0.06963369175880088
2019-04-17,2.8,18.6,0.0,0.14410034397375687,0.14410034397375687
2019-04-18,5.3,21.3,0.0,0.3996679904238385,0.3996679904238385
2019-04-19,7.8,22.5,0.0,0.5170175940139116,0.5170175940139116
2019-04-20,4.0,21.5,0.0,0.419018074512868,0.419018074512868
2019-04-21,5.8,21.1,0.0,0.3803914705560483,0.3803914705560483
2019-04-22,7.2,19.1,0.0,0.1908322464618634,0.1908322464618634
2019-04-23,9.3,19.8,0.0,0.25661948051059913,0.25661948051059913
2019-04-24,11.6,23.3,0.2,0.5971831922982014,0.5971831922982014
2019-04-25,12.6,25.4,0.0,0.8176416508043154,0.8176416508043154
2019-04-26,10.2,24.0,2.4,0.668882558560314,0.668882558560314
2019-04-27,9.4,18.1,0.4,0.09752502013387779,0.09752502013387779
2019-04-28,8.1,13.1,0.4,-0.37077955012027436,-0.37077955012027436
2019-04-29,5.5,17.1,1.1,0.00464037955650208,0.00464037955650208
2019-04-30,3.5,18.1,0.5,0.09752502013387779,0.09752502013387779
2019-05-01,7.7,17.2,0.0,0.013921338518607796,0.013921338518607796
2019-05-02,7.0,13.2,1.0,-0.3611845344447076,-0.3611845344447076
2019-05-03,5.5,11.3,0.0,-0.5468767621579929,-0.5468767621579929
2019-05-04,1.4,11.1,0.0,-0.5669150904170345,-0.5669150904170345
2019-05-05,-0.3,11.9,0.0,-0.4873822305760514,-0.4873822305760514
2019-05-06,2.6,13.1,0.6,-0.37077955012027436,-0.37077955012027436
2019-05-07,2.0,13.8,0.0,-0.30394259332356105,-0.30394259332356105
2019-05-08,0.9,18.7,0.2,0.15343254694181752,0.15343254694181752
2019-05-09,9.5,18.0,0.9,0.08822423341483882,0.08822423341483882
2019-05-10,6.8,16.9,0.4,-0.013921338518608233,-0.013921338518608233
2019-05-11,5.4,15.1,1.2,-0.18147085491364162,-0.18147085491364162
